author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Yuanlu,Sun,University of Missouri-St. Louis,Cheryl L.,Shigaki,VA Medical Center,Jane M.,Armer,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian K.,Foutch,University of the Incarnate Word,Carl J.,Bassi,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael C.,Gearhart,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen,Bellas,Metropolitan State University,Lea,Kosnik,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin M.,Walsh,University of Illinois Springfield,Allison,Burrus,University of Missouri-St. Louis,Dana,Kabat-Farr,Dalhousie University,Alyssa K.,McGonagle,The University of North Carolina at Charlotte,Elizabeth,Call,University of Illinois Springfield,Allie,McIntire,University of Illinois Springfield,Frances C.,Shen,University of Illinois Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germine H.,Awad,The University of Texas at Austin,Susan,Kashubeck-West,University of Missouri-St. Louis,Rashanta A.,Bledman,"University of Maryland, College Park",Angela D.,Coker,University of Missouri-St. Louis,Rebecca D.,Stinson,University of Minnesota Twin Cities,Laurie B.,Mintz,University of Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Chantal,Welch,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,Petersen,University of Miami,Marisa,Omori,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo,Panza,Department of Chemistry and Biochemistry,Keith J.,Stine,Department of Chemistry and Biochemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yingyue,Zhou,Washington University School of Medicine in St. Louis,Wilbur M.,Song,Washington University School of Medicine in St. Louis,Prabhakar S.,Andhey,Washington University School of Medicine in St. Louis,Amanda,Swain,Washington University School of Medicine in St. Louis,Tyler,Levy,Bluefin Biomedicine,Kelly R.,Miller,NanoString,Pietro L.,Poliani,Università degli Studi di Brescia,Manuela,Cominelli,Università degli Studi di Brescia,Shikha,Grover,Department of Chemistry and Biochemistry,Susan,Gilfillan,Washington University School of Medicine in St. Louis,Marina,Cella,Washington University School of Medicine in St. Louis,Tyler K.,Ulland,University of Wisconsin-Madison,Konstantin,Zaitsev,Washington University School of Medicine in St. Louis,Akinori,Miyashita,Niigata University,Takeshi,Ikeuchi,Niigata University,Makoto,Sainouchi,Niigata University,Akiyoshi,Kakita,Niigata University,David A.,Bennett,Rush Alzheimer’s Disease Center,Julie A.,Schneider,Rush Alzheimer’s Disease Center,Michael R.,Nichols,Department of Chemistry and Biochemistry,Sean A.,Beausoleil,Bluefin Biomedicine,Jason D.,Ulrich,Washington University School of Medicine in St. Louis,David M.,Holtzman,Washington University School of Medicine in St. Louis,Maxim N.,Artyomov,Washington University School of Medicine in St. Louis,Marco,Colonna,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,
Darby,McDermott,Cummings School of Veterinary Medicine,A. Patricia,Mendoza,University of Missouri-St. Louis,Tierra,Smiley-Evans,School of Veterinary Medicine,Milagros,Zavaleta,"Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales",Akram A.,Da’dara,Cummings School of Veterinary Medicine,Jorge O.,Alarcón,"Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales",Raul,Bello,Kawsay Biological Station,Paola Santa,Vidal,Taricaya Rescue Center,Marieke,Rosenbaum,Cummings School of Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel E.,Pierce,University of Missouri,Patti J.,Wright,University of Missouri-St. Louis,Rachel S.,Popelka-Filcoff,Flinders University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalpana J.,Kallianpur,John A. Burns School of Medicine,Maegen,Walker,John A. Burns School of Medicine,Mariana,Gerschenson,John A. Burns School of Medicine,Cecilia M.,Shikuma,John A. Burns School of Medicine,Louie Mar A.,Gangcuangco,John A. Burns School of Medicine,Lindsay,Kohorn,John A. Burns School of Medicine,Daniel E.,Libutti,John A. Burns School of Medicine,Talia M.,Nir,Keck School of Medicine of USC,Neda,Jahanshad,Keck School of Medicine of USC,Paul M.,Thompson,Keck School of Medicine of USC,Robert,Paul,Missouri Institute of Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,Brown,University of Missouri-St. Louis,Jessica A.,Wojtalik,University of Pittsburgh,Melissa,Turkel,University of Missouri-St. Louis,Tessa,Vuper,University of Missouri-St. Louis,David,Strasshofer,University of Missouri-St. Louis,Yvette I.,Sheline,University of Pennsylvania,Steven E.,Bruce,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily,Strang,Southern Arizona VA Healthcare System,Zoë D.,Peterson,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beibei,Chen,Huazhong Agricultural University,Gaoyang,Zhang,Anhui Agricultural University,Penghui,Li,Anhui Agricultural University,Jihong,Yang,Anhui Agricultural University,Liang,Guo,Huazhong Agricultural University,Christoph,Benning,Michigan State University,Xuemin,Wang,University of Missouri-St. Louis,Jian,Zhao,Anhui Agricultural University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee A.,Slocum,University of Missouri-St. Louis,Beth M.,Huebner,University of Missouri-St. Louis,Claire,Greene,University of Missouri-St. Louis,Richard,Rosenfeld,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie,Poehlmann-Tynan,University of Wisconsin-Madison,Ashleigh,Engbretson,University of Wisconsin-Madison,Abra B.,Vigna,University of Wisconsin-Madison,Lindsay A.,Weymouth,University of Wisconsin-Madison,Cynthia,Burnson,University of Wisconsin-Madison,Carolyn,Zahn-Waxler,University of Wisconsin-Madison,Amita,Kapoor,University of Wisconsin-Madison,Emily D.,Gerstein,University of Missouri-St. Louis,Kerrie A.,Fanning,University of Wisconsin-Madison,Charles L.,Raison,University of Wisconsin-Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil,Dello Russo,Johns Hopkins University Applied Physics Laboratory,Hideyo,Kawakita,Kyoto Sangyo University,Boncho P.,Bonev,American University,Ronald J.,Vervack,Johns Hopkins University Applied Physics Laboratory,Erika L.,Gibb,University of Missouri-St. Louis,Yoshiharu,Shinnaka,Kyoto Sangyo University,Nathan X.,Roth,University of Missouri-St. Louis,Michael A.,DiSanti,NASA Goddard Space Flight Center,Adam J.,McKay,American University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyang,Peng,The University of New Mexico,Yuguo,Liao,University of Missouri-St. Louis,Jiahuan,Lu,Rutgers University-Newark Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Yu Hsin,Liao,Cleveland State University,Frances C.,Shen,University of Illinois Springfield,Andrea R.,Cox,University of Missouri-St. Louis,Amy R.,Miller,University of Missouri-St. Louis,Brittany,Sievers,Southern Illinois University Carbondale,Brianna,Werner,University of Southern Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lin,Li,Xidian University,Haiyan,Cai,University of Missouri-St. Louis,Hongxia,Han,Xidian University,Qingtang,Jiang,University of Missouri-St. Louis,Hongbing,Ji,Xidian University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick M.,High,Substance Abuse and Mental Health Services Administration,Katherine,Marks,University of Kentucky,Vestena,Robbins,Kentucky Department for Behavioral Health,Rachel,Winograd,Missouri Institute of Mental Health,Teresa,Manocchio,Substance Abuse and Mental Health Services Administration,Thomas,Clarke,Substance Abuse and Mental Health Services Administration,Claire,Wood,Missouri Institute of Mental Health,Mark,Stringer,Missouri Department of Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel P.,Winograd,Missouri Institute of Mental Health,Claire A.,Wood,Missouri Institute of Mental Health,Erin J.,Stringfellow,Missouri Institute of Mental Health,Ned,Presnall,Washington University in St. Louis,Alex,Duello,Missouri Institute of Mental Health,Phil,Horn,Missouri Institute of Mental Health,Tim,Rudder,Missouri Department of Health and Senior Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward,Orehek,University of Pittsburgh,Lauren J.,Human,Université McGill,Michael A.,Sayette,University of Pittsburgh,John D.,Dimoff,University of Pittsburgh,Rachel P.,Winograd,Missouri Institute of Mental Health,Kenneth J.,Sher,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saadia,Qaiser,National College of Business Administration and Economics,Ghulam,Abid,National College of Business Administration and Economics,Bindu,Arya,University of Missouri-St. Louis,Saira,Farooqi,Kinnaird College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mithila D.,Bandara,Department of Chemistry and Biochemistry,Keith J.,Stine,Department of Chemistry and Biochemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lihong,Yang,Nanjing University of Traditional Chinese Medicine,Anne F.,Fish,University of Missouri-St. Louis,Yuanyuan,Zhu,Nanjing University of Traditional Chinese Medicine,Xiaodan,Yuan,Nanjing University of Traditional Chinese Medicine,Jianing,Li,Nanjing University of Traditional Chinese Medicine,Xiaoyun,Wang,Shaanxi Provincial People's Hospital,Li,Yuan,West China School of Medicine/West China Hospital of Sichuan University,Zhumin,Jia,Henan University of Science and Technology,Chao,Liu,Nanjing University of Traditional Chinese Medicine,Yunchen,Xu,Hainan People's Hospital-Longhua,Qingqing,Lou,Nanjing University of Traditional Chinese Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Asigau,University of Missouri-St. Louis,Sawsan,Salah,University of Missouri-St. Louis,Patricia G.,Parker,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuguo,Liao,University of Missouri-St. Louis,Liang,Ma,Renmin University of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
